class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
162,162,60,0.7,0.5833333333333334,0.6363636363636365,0.7111111111111111,0.5333333333333333,0.6095238095238096,-0.026839826839826886,158,8,158,8
152,152,131,0.7402597402597403,0.8702290076335878,0.7999999999999999,0.7297297297297297,0.8244274809160306,0.7741935483870968,-0.02580645161290318,154,6,154,14
231,231,16,0.7272727272727273,1.0,0.8421052631578948,0.6956521739130435,1.0,0.8205128205128205,-0.021592442645074317,0,0,0,0
94,094,131,0.9051094890510949,0.9465648854961832,0.9253731343283582,0.8723404255319149,0.9389312977099237,0.9044117647058824,-0.020961369622475856,77,2,77,2
165,165,131,0.8931297709923665,0.8931297709923665,0.8931297709923665,0.8592592592592593,0.8854961832061069,0.8721804511278195,-0.020949319864546956,159,6,159,5
93,093,131,0.7762237762237763,0.8473282442748091,0.8102189781021899,0.7777777777777778,0.8015267175572519,0.7894736842105262,-0.020745293891663685,8,5,37,6
132,132,131,0.8368794326241135,0.9007633587786259,0.8676470588235293,0.8421052631578947,0.8549618320610687,0.8484848484848484,-0.01916221033868093,145,13,145,17
221,221,24,0.9230769230769231,1.0,0.9600000000000001,0.8888888888888888,1.0,0.9411764705882353,-0.018823529411764794,0,0,0,0
168,168,33,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6052631578947368,0.696969696969697,0.6478873239436619,-0.018779342723004744,167,7,167,6
99,099,97,0.9010989010989011,0.845360824742268,0.8723404255319148,0.8631578947368421,0.845360824742268,0.8541666666666666,-0.01817375886524819,52,6,52,7
125,125,131,0.9008264462809917,0.8320610687022901,0.8650793650793651,0.8907563025210085,0.8091603053435115,0.848,-0.01707936507936514,26,3,26,3
157,157,38,0.8285714285714286,0.7631578947368421,0.7945205479452055,0.8235294117647058,0.7368421052631579,0.7777777777777778,-0.016742770167427756,149,2,161,3
104,104,74,0.8082191780821918,0.7972972972972973,0.802721088435374,0.8028169014084507,0.7702702702702703,0.7862068965517242,-0.016514191883649887,102,6,102,8
63,063,90,0.9340659340659341,0.9444444444444444,0.9392265193370165,0.9130434782608695,0.9333333333333333,0.9230769230769231,-0.01614959626009338,229,2,112,2
120,120,70,0.9558823529411765,0.9285714285714286,0.9420289855072465,0.9545454545454546,0.9,0.9264705882352942,-0.015558397271952296,15,2,16,2
77,077,131,0.8273381294964028,0.8778625954198473,0.8518518518518519,0.7986111111111112,0.8778625954198473,0.8363636363636363,-0.015488215488215551,137,4,137,5
66,066,131,0.8790322580645161,0.8320610687022901,0.8549019607843138,0.8823529411764706,0.8015267175572519,0.84,-0.014901960784313828,68,9,68,12
180,180,113,0.8380952380952381,0.7787610619469026,0.8073394495412844,0.8269230769230769,0.7610619469026548,0.7926267281105989,-0.014712721430685582,177,16,177,14
89,089,131,0.8947368421052632,0.9083969465648855,0.9015151515151515,0.8740740740740741,0.9007633587786259,0.8872180451127819,-0.014297106402369586,87,8,87,7
153,153,128,0.7054794520547946,0.8046875,0.7518248175182483,0.7185185185185186,0.7578125,0.7376425855513308,-0.01418223196691748,154,21,154,26
206,206,119,0.8782608695652174,0.8487394957983193,0.8632478632478634,0.868421052631579,0.8319327731092437,0.849785407725322,-0.013462455522541439,188,14,188,14
59,059,46,0.75,0.782608695652174,0.7659574468085107,0.7446808510638298,0.7608695652173914,0.7526881720430109,-0.013269274765499883,179,3,179,3
78,078,37,0.6551724137931034,0.5135135135135135,0.5757575757575758,0.6666666666666666,0.4864864864864865,0.5625,-0.013257575757575801,161,7,161,7
171,171,131,0.6733333333333333,0.7709923664122137,0.7188612099644129,0.6808510638297872,0.732824427480916,0.7058823529411764,-0.012978857023236534,167,15,167,16
5,005,131,0.9343065693430657,0.9770992366412213,0.9552238805970148,0.9328358208955224,0.9541984732824428,0.9433962264150944,-0.011827654181920444,10,1,10,2
108,108,68,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.8939393939393939,0.8676470588235294,0.8805970149253731,-0.011710677382319123,107,2,109,2
10,010,131,0.9770992366412213,0.9770992366412213,0.9770992366412213,0.9621212121212122,0.9694656488549618,0.9657794676806084,-0.01131976896061293,131,1,35,1
53,053,131,0.8548387096774194,0.8091603053435115,0.831372549019608,0.84,0.8015267175572519,0.8203125,-0.011060049019607998,205,8,205,9
8,008,55,0.8148148148148148,0.8,0.8073394495412846,0.8113207547169812,0.7818181818181819,0.7962962962962964,-0.011043153244988169,93,5,93,7
174,174,42,1.0,0.9523809523809523,0.975609756097561,0.9534883720930233,0.9761904761904762,0.9647058823529412,-0.010903873744619763,138,1,203,1
130,130,131,0.927007299270073,0.9694656488549618,0.9477611940298507,0.9071428571428571,0.9694656488549618,0.9372693726937269,-0.010491821336123808,19,1,131,2
161,161,131,0.7847222222222222,0.8625954198473282,0.8218181818181818,0.7724137931034483,0.8549618320610687,0.8115942028985507,-0.010223978919631116,151,4,151,3
207,207,131,0.9291338582677166,0.9007633587786259,0.9147286821705426,0.9015151515151515,0.9083969465648855,0.9049429657794676,-0.00978571639107495,203,3,204,4
172,172,66,0.890625,0.8636363636363636,0.8769230769230768,0.8888888888888888,0.8484848484848485,0.8682170542635659,-0.008706022659510926,68,2,130,3
60,060,131,0.8652482269503546,0.9312977099236641,0.8970588235294118,0.8633093525179856,0.916030534351145,0.8888888888888888,-0.008169934640522958,74,3,74,3
37,037,113,0.9320388349514563,0.8495575221238938,0.888888888888889,0.9142857142857143,0.8495575221238938,0.8807339449541284,-0.008154943934760572,93,11,93,10
