class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
233,233,16,0.9411764705882353,1.0,0.9696969696969697,1.0,1.0,1.0,0.030303030303030276,0,0,0,0
146,146,131,0.9076923076923077,0.9007633587786259,0.9042145593869731,0.9523809523809523,0.916030534351145,0.933852140077821,0.029637580690847876,140,6,140,6
236,236,16,0.8888888888888888,1.0,0.9411764705882353,0.9411764705882353,1.0,0.9696969696969697,0.028520499108734443,0,0,0,0
33,033,131,0.8978102189781022,0.9389312977099237,0.917910447761194,0.9534883720930233,0.9389312977099237,0.9461538461538462,0.02824339839265222,22,3,22,3
211,211,13,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.75,0.9230769230769231,0.8275862068965517,0.027586206896551557,110,1,110,1
149,149,131,0.7753623188405797,0.816793893129771,0.7955390334572491,0.7985611510791367,0.8473282442748091,0.8222222222222222,0.02668318876497311,151,10,151,7
74,074,39,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.02564102564102566,46,1,89,2
84,084,131,0.8114754098360656,0.7557251908396947,0.782608695652174,0.8306451612903226,0.7862595419847328,0.807843137254902,0.02523444160272803,90,15,90,17
228,228,16,0.6190476190476191,0.8125,0.7027027027027026,0.5714285714285714,1.0,0.7272727272727273,0.024570024570024662,72,2,0,0
239,239,16,0.7619047619047619,1.0,0.8648648648648648,0.8,1.0,0.888888888888889,0.02402402402402415,0,0,0,0
20,020,131,0.8739495798319328,0.7938931297709924,0.832,0.8991596638655462,0.816793893129771,0.856,0.02400000000000002,22,7,21,8
138,138,61,0.7017543859649122,0.6557377049180327,0.6779661016949152,0.7547169811320755,0.6557377049180327,0.7017543859649122,0.023788284269997018,152,3,199,3
58,058,131,0.7560975609756098,0.7099236641221374,0.7322834645669292,0.7804878048780488,0.732824427480916,0.7559055118110236,0.023622047244094446,179,5,179,5
159,159,131,0.8125,0.7938931297709924,0.8030888030888031,0.8359375,0.816793893129771,0.8262548262548262,0.02316602316602301,164,5,165,7
43,043,131,0.8931297709923665,0.8931297709923665,0.8931297709923665,0.916030534351145,0.916030534351145,0.916030534351145,0.022900763358778553,223,7,223,5
32,032,131,0.8661417322834646,0.8396946564885496,0.8527131782945735,0.896,0.8549618320610687,0.875,0.022286821705426507,52,4,52,4
135,135,131,0.656934306569343,0.6870229007633588,0.6716417910447762,0.6714285714285714,0.7175572519083969,0.6937269372693727,0.022085146224596564,134,22,134,23
194,194,14,0.75,0.6428571428571429,0.6923076923076924,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0219780219780219,173,2,173,2
87,087,131,0.8731343283582089,0.8931297709923665,0.8830188679245283,0.9015151515151515,0.9083969465648855,0.9049429657794676,0.021924097854939317,89,6,89,8
237,237,16,0.6956521739130435,1.0,0.8205128205128205,0.7272727272727273,1.0,0.8421052631578948,0.021592442645074317,0,0,0,0
223,223,40,0.8444444444444444,0.95,0.8941176470588236,0.8837209302325582,0.95,0.9156626506024096,0.021545003543586017,43,2,43,2
212,212,24,0.96,1.0,0.9795918367346939,1.0,1.0,1.0,0.020408163265306145,0,0,0,0
83,083,71,0.8904109589041096,0.9154929577464789,0.9027777777777778,0.9166666666666666,0.9295774647887324,0.9230769230769231,0.020299145299145338,227,3,227,2
182,182,67,0.7058823529411765,0.7164179104477612,0.7111111111111111,0.7313432835820896,0.7313432835820896,0.7313432835820896,0.020232172470978416,28,15,28,15
2,002,103,0.8141592920353983,0.8932038834951457,0.851851851851852,0.8518518518518519,0.8932038834951457,0.8720379146919431,0.020186062840091168,1,7,1,9
205,205,131,0.864406779661017,0.7786259541984732,0.8192771084337348,0.8629032258064516,0.816793893129771,0.8392156862745098,0.019938577840775018,53,10,53,12
6,006,131,0.852112676056338,0.9236641221374046,0.8864468864468864,0.8897058823529411,0.9236641221374046,0.9063670411985019,0.01992015475161546,53,2,9,1
204,204,122,0.819672131147541,0.819672131147541,0.819672131147541,0.8429752066115702,0.8360655737704918,0.8395061728395061,0.01983404169196512,195,4,195,5
71,071,144,0.8903225806451613,0.9583333333333334,0.9230769230769231,0.9150326797385621,0.9722222222222222,0.9427609427609427,0.01968401968401956,33,1,44,1
69,069,40,0.7619047619047619,0.8,0.7804878048780488,0.8,0.8,0.8000000000000002,0.019512195121951348,30,1,72,2
31,031,105,0.8411214953271028,0.8571428571428571,0.8490566037735849,0.89,0.8476190476190476,0.8682926829268293,0.019236079153244323,98,4,98,5
47,047,51,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.9423076923076923,0.9607843137254902,0.9514563106796117,0.018122977346278324,33,1,33,1
155,155,131,0.8897058823529411,0.9236641221374046,0.9063670411985019,0.9172932330827067,0.9312977099236641,0.9242424242424241,0.01787538304392222,151,5,151,4
41,041,125,0.9911504424778761,0.896,0.9411764705882352,1.0,0.92,0.9583333333333334,0.0171568627450982,220,5,220,5
38,038,131,0.8518518518518519,0.8778625954198473,0.8646616541353385,0.8561151079136691,0.9083969465648855,0.8814814814814815,0.016819827346143068,73,2,9,1
88,088,55,0.8833333333333333,0.9636363636363636,0.9217391304347826,0.9137931034482759,0.9636363636363636,0.9380530973451328,0.01631396691035014,114,1,114,1
100,100,64,0.819672131147541,0.78125,0.8,0.8360655737704918,0.796875,0.816,0.015999999999999903,98,4,98,4
151,151,131,0.6793893129770993,0.6793893129770993,0.6793893129770993,0.712,0.6793893129770993,0.6953125000000001,0.015923187022900853,149,13,149,10
