threshold,coverage,accuracy
0.6633165829145728,0.9451845485365038,0.8750189441778227
0.6683417085427136,0.9438475863056869,0.8754489806242728
0.6733668341708543,0.9426061213770711,0.8759941239045641
0.678391959798995,0.9417943943083608,0.8762928412086798
0.6834170854271356,0.9399799455665377,0.8771207965051305
0.6884422110552764,0.9386907319868214,0.8775624395950964
0.6934673366834171,0.9372582724538032,0.8780375974323704
0.6984924623115578,0.936303299431791,0.878423173032791
0.7035175879396985,0.9349663372009741,0.8791175118737552
0.7085427135678392,0.9335816263190565,0.8798588379705401
0.7135678391959799,0.9323401613904407,0.8803646420157738
0.7185929648241206,0.9309554505085231,0.8811099143457968
0.7236180904522613,0.9298094828821086,0.8813742104452319
0.7286432160804021,0.9289977558133983,0.8818359375
0.7336683417085427,0.9280427827913862,0.8822288536735954
0.7386934673366834,0.9269445638160722,0.8825014165765209
0.7437185929648241,0.9257030988874564,0.8829628101304998
0.7487437185929648,0.9244616339588406,0.8832188420019627
0.7537688442211056,0.9235544095879291,0.8834660324682039
0.7587939698492463,0.9218354581483074,0.8841292862322594
0.7638190954773869,0.9208327364751946,0.884625356494685
0.7688442211055276,0.9197822661509812,0.8850646316773089
0.7738693467336684,0.9184930525712649,0.8855791224786858
0.7788944723618091,0.9173948335959509,0.8861708218393796
0.7839195979899498,0.9162011173184358,0.8868042526579112
0.7889447236180904,0.9146731604832163,0.887189392357486
0.7939698492462312,0.9132407009501982,0.8876921468158527
0.7989949748743719,0.9119514873704818,0.8880569663333159
0.8040201005025126,0.9103280332330612,0.8887490165224233
0.8090452261306533,0.9086568304445399,0.8894902785076195
0.8140703517587939,0.9071766222604212,0.8900468445707669
0.8190954773869347,0.905362173518598,0.8907230631295818
0.8241206030150754,0.9042639545432841,0.8910127785405005
0.8291457286432161,0.902592751754763,0.8913929005977888
0.8341708542713568,0.9012080408728453,0.8919148034332944
0.8391959798994975,0.8992980948288211,0.8928002548582351
0.8442211055276382,0.8980088812491047,0.8933907587600362
0.8492462311557789,0.896767416320489,0.8938821149033598
0.8542713567839196,0.8949529675786659,0.8949474470468975
0.8592964824120604,0.8932817647901447,0.8955527047252513
0.864321608040201,0.8914195673972211,0.896137982752156
0.8693467336683417,0.8894618727020962,0.8968756710328538
0.8743718592964824,0.8877906699135749,0.8973269510030657
0.8793969849246231,0.8861672157761543,0.89789320545288
0.8844221105527639,0.8839230291744258,0.8986063094209161
0.8894472361809045,0.8819653344793009,0.8990850522440582
0.8944723618090452,0.8795779019242707,0.8999511427175506
0.8994974874371859,0.877238218020341,0.9008273459612454
0.9045226130653267,0.8752327746741154,0.9019094380796508
0.9095477386934674,0.8723678556080791,0.9029556650246305
0.914572864321608,0.8699326744019481,0.9038366540424831
0.9195979899497487,0.8667812634293082,0.9053049082796232
0.9246231155778895,0.8642028362698754,0.9062931653682524
