,precision,recall,f1-score,support
153,0.7185185185185186,0.7578125,0.7376425855513308,128.0
154,0.46788990825688076,0.3893129770992366,0.425,131.0
155,0.9172932330827067,0.9312977099236641,0.9242424242424241,131.0
156,0.5652173913043478,0.65,0.6046511627906976,20.0
157,0.8235294117647058,0.7368421052631579,0.7777777777777778,38.0
158,0.7482517482517482,0.816793893129771,0.7810218978102189,131.0
159,0.8359375,0.816793893129771,0.8262548262548262,131.0
160,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
161,0.7724137931034483,0.8549618320610687,0.8115942028985507,131.0
162,0.7111111111111111,0.5333333333333333,0.6095238095238096,60.0
163,0.9295774647887324,0.8461538461538461,0.8859060402684563,78.0
164,0.9083969465648855,0.9083969465648855,0.9083969465648855,131.0
165,0.8592592592592593,0.8854961832061069,0.8721804511278195,131.0
166,0.937007874015748,0.9083969465648855,0.9224806201550387,131.0
167,0.7303370786516854,0.6190476190476191,0.6701030927835052,105.0
168,0.6052631578947368,0.696969696969697,0.6478873239436619,33.0
169,0.6666666666666666,0.5,0.5714285714285715,4.0
170,0.9121621621621622,0.9926470588235294,0.9507042253521126,136.0
171,0.6808510638297872,0.732824427480916,0.7058823529411764,131.0
172,0.8888888888888888,0.8484848484848485,0.8682170542635659,66.0
173,0.9776119402985075,1.0,0.9886792452830189,131.0
174,0.9534883720930233,0.9761904761904762,0.9647058823529412,42.0
175,0.8787878787878788,0.9354838709677419,0.90625,62.0
176,0.9624060150375939,0.9770992366412213,0.9696969696969696,131.0
177,0.7941176470588235,0.8244274809160306,0.8089887640449439,131.0
178,0.9,0.8780487804878049,0.888888888888889,41.0
179,0.7058823529411765,0.7433628318584071,0.7241379310344829,113.0
180,0.8269230769230769,0.7610619469026548,0.7926267281105989,113.0
181,0.8461538461538461,0.7333333333333333,0.7857142857142856,15.0
182,0.7313432835820896,0.7313432835820896,0.7313432835820896,67.0
183,0.898876404494382,0.9195402298850575,0.9090909090909091,87.0
184,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
185,0.8333333333333334,0.8778625954198473,0.8550185873605949,131.0
186,1.0,1.0,1.0,11.0
187,0.8360655737704918,0.7285714285714285,0.7786259541984734,70.0
188,0.8383838383838383,0.83,0.8341708542713568,100.0
189,0.8387096774193549,0.7938931297709924,0.8156862745098039,131.0
190,0.9036144578313253,0.9375,0.920245398773006,80.0
191,0.8913043478260869,0.9534883720930233,0.9213483146067417,43.0
192,0.8461538461538461,0.8461538461538461,0.8461538461538461,26.0
193,0.9242424242424242,0.9312977099236641,0.9277566539923954,131.0
194,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
195,0.8428571428571429,0.9007633587786259,0.8708487084870847,131.0
196,0.9924242424242424,1.0,0.9961977186311787,131.0
197,0.7730496453900709,0.8320610687022901,0.8014705882352942,131.0
198,0.825,0.868421052631579,0.8461538461538461,38.0
199,0.8099173553719008,0.7480916030534351,0.7777777777777777,131.0
200,0.7185185185185186,0.7404580152671756,0.7293233082706767,131.0
201,0.796875,0.7786259541984732,0.7876447876447876,131.0
202,0.8571428571428571,0.8076923076923077,0.8316831683168318,52.0
203,0.8805970149253731,0.9007633587786259,0.890566037735849,131.0
204,0.8429752066115702,0.8360655737704918,0.8395061728395061,122.0
205,0.8629032258064516,0.816793893129771,0.8392156862745098,131.0
206,0.868421052631579,0.8319327731092437,0.849785407725322,119.0
207,0.9015151515151515,0.9083969465648855,0.9049429657794676,131.0
208,0.6818181818181818,0.8823529411764706,0.7692307692307693,34.0
209,0.8863636363636364,0.975,0.9285714285714285,40.0
210,0.9032258064516129,0.875,0.8888888888888888,32.0
211,0.75,0.9230769230769231,0.8275862068965517,13.0
212,1.0,1.0,1.0,24.0
213,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
214,0.7894736842105263,0.9375,0.8571428571428572,16.0
215,0.64,1.0,0.7804878048780487,16.0
216,0.5652173913043478,0.8125,0.6666666666666667,16.0
217,1.0,1.0,1.0,16.0
218,0.6857142857142857,1.0,0.8135593220338984,24.0
219,0.76,0.7916666666666666,0.7755102040816326,24.0
220,0.7619047619047619,1.0,0.8648648648648648,16.0
221,0.8888888888888888,1.0,0.9411764705882353,24.0
222,0.6086956521739131,0.875,0.717948717948718,16.0
223,0.8837209302325582,0.95,0.9156626506024096,40.0
224,0.8,1.0,0.888888888888889,16.0
225,0.96,1.0,0.9795918367346939,24.0
226,0.9411764705882353,1.0,0.9696969696969697,16.0
227,0.75,0.9375,0.8333333333333334,16.0
228,0.5714285714285714,1.0,0.7272727272727273,16.0
229,0.7777777777777778,0.875,0.823529411764706,16.0
230,0.7894736842105263,0.9375,0.8571428571428572,16.0
231,0.6956521739130435,1.0,0.8205128205128205,16.0
232,0.8333333333333334,0.9375,0.8823529411764706,16.0
233,1.0,1.0,1.0,16.0
234,0.7777777777777778,0.875,0.823529411764706,16.0
235,0.9411764705882353,1.0,0.9696969696969697,16.0
236,0.9411764705882353,1.0,0.9696969696969697,16.0
237,0.7272727272727273,1.0,0.8421052631578948,16.0
238,1.0,1.0,1.0,16.0
239,0.8,1.0,0.888888888888889,16.0
240,0.8888888888888888,1.0,0.9411764705882353,16.0
accuracy,0.8483980327555747,0.8483980327555747,0.8483980327555747,0.8483980327555747
macro avg,0.8417388479078375,0.8507317328288084,0.8435844776200287,20943.0
weighted avg,0.8493050952137776,0.8483980327555747,0.8476018030405664,20943.0
