[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverB/mbc_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --no-kd --arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverB/mbc_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] disabled.
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverB/mbc_er/seed_42/runs/20260617-091842

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   4% 60/1335 [00:37<09:48,  2.17it/s, loss=13.8195, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 60/1335 [00:37<09:48,  2.17it/s, loss=13.7965, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 61/1335 [00:37<09:49,  2.16it/s, loss=13.7965, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 61/1335 [00:38<09:49,  2.16it/s, loss=13.7761, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 62/1335 [00:38<09:48,  2.16it/s, loss=13.7761, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 62/1335 [00:38<09:48,  2.16it/s, loss=13.7566, top1=0.01%, top5=0.02%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 63/1335 [00:38<09:50,  2.15it/s, loss=13.7566, top1=0.01%, top5=0.02%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 63/1335 [00:39<09:50,  2.15it/s, loss=13.7380, top1=0.01%, top5=0.02%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 64/1335 [00:39<09:53,  2.14it/s, loss=13.7380, top1=0.01%, top5=0.02%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 64/1335 [00:39<09:53,  2.14it/s, loss=13.7146, top1=0.02%, top5=0.04%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 65/1335 [00:39<09:50,  2.15it/s, loss=13.7146, top1=0.02%, top5=0.04%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 65/1335 [00:40<09:50,  2.15it/s, loss=13.6997, top1=0.02%, top5=0.04%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 66/1335 [00:40<09:47,  2.16it/s, loss=13.6997, top1=0.02%, top5=0.04%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 66/1335 [00:40<09:47,  2.16it/s, loss=13.6802, top1=0.02%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 67/1335 [00:40<09:46,  2.16it/s, loss=13.6802, top1=0.02%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 67/1335 [00:40<09:46,  2.16it/s, loss=13.6542, top1=0.03%, top5=0.06%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 68/1335 [00:40<09:44,  2.17it/s, loss=13.6542, top1=0.03%, top5=0.06%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   5% 68/1335 [00:41<09:44,  2.17it/s, loss=13.6337, top1=0.03%, top5=0.06%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
