[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --no-arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_er/seed_42/runs/20260617-195405

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   2% 21/1335 [00:27<15:34,  1.41it/s, loss=2.6187, top1=3.35%, top5=8.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 21/1335 [00:27<15:34,  1.41it/s, loss=2.6128, top1=3.66%, top5=9.13%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 22/1335 [00:27<15:31,  1.41it/s, loss=2.6128, top1=3.66%, top5=9.13%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 22/1335 [00:28<15:31,  1.41it/s, loss=2.6073, top1=4.01%, top5=9.48%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 23/1335 [00:28<15:28,  1.41it/s, loss=2.6073, top1=4.01%, top5=9.48%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 23/1335 [00:29<15:28,  1.41it/s, loss=2.5954, top1=4.75%, top5=10.74%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 24/1335 [00:29<15:27,  1.41it/s, loss=2.5954, top1=4.75%, top5=10.74%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 24/1335 [00:29<15:27,  1.41it/s, loss=2.5866, top1=5.19%, top5=11.62%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 25/1335 [00:29<15:26,  1.41it/s, loss=2.5866, top1=5.19%, top5=11.62%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 25/1335 [00:30<15:26,  1.41it/s, loss=2.5785, top1=5.59%, top5=12.26%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 26/1335 [00:30<15:25,  1.42it/s, loss=2.5785, top1=5.59%, top5=12.26%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 26/1335 [00:31<15:25,  1.42it/s, loss=2.5655, top1=6.31%, top5=13.43%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 27/1335 [00:31<15:23,  1.42it/s, loss=2.5655, top1=6.31%, top5=13.43%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 27/1335 [00:32<15:23,  1.42it/s, loss=2.5611, top1=6.56%, top5=13.95%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 28/1335 [00:32<15:25,  1.41it/s, loss=2.5611, top1=6.56%, top5=13.95%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 28/1335 [00:32<15:25,  1.41it/s, loss=2.5538, top1=6.90%, top5=14.47%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 29/1335 [00:32<15:23,  1.41it/s, loss=2.5538, top1=6.90%, top5=14.47%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 29/1335 [00:33<15:23,  1.41it/s, loss=2.5522, top1=6.80%, top5=14.71%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 30/1335 [00:33<15:22,  1.41it/s, loss=2.5522, top1=6.80%, top5=14.71%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 30/1335 [00:34<15:22,  1.41it/s, loss=2.5495, top1=7.01%, top5=15.12%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 31/1335 [00:34<15:21,  1.42it/s, loss=2.5495, top1=7.01%, top5=15.12%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 31/1335 [00:34<15:21,  1.42it/s, loss=2.5478, top1=7.06%, top5=15.36%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 32/1335 [00:34<15:20,  1.42it/s, loss=2.5478, top1=7.06%, top5=15.36%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 32/1335 [00:35<15:20,  1.42it/s, loss=2.5430, top1=7.32%, top5=15.70%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 33/1335 [00:35<15:39,  1.39it/s, loss=2.5430, top1=7.32%, top5=15.70%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   2% 33/1335 [00:36<15:39,  1.39it/s, loss=2.5344, top1=7.56%, top5=16.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 34/1335 [00:36<15:32,  1.40it/s, loss=2.5344, top1=7.56%, top5=16.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 34/1335 [00:37<15:32,  1.40it/s, loss=2.5283, top1=7.81%, top5=16.67%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 35/1335 [00:37<15:27,  1.40it/s, loss=2.5283, top1=7.81%, top5=16.67%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 35/1335 [00:37<15:27,  1.40it/s, loss=2.5173, top1=8.31%, top5=17.51%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 36/1335 [00:37<15:24,  1.41it/s, loss=2.5173, top1=8.31%, top5=17.51%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 36/1335 [00:38<15:24,  1.41it/s, loss=2.5090, top1=8.51%, top5=18.14%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   3% 37/1335 [00:38<15:20,  1.41it/s, loss=2.5090, top1=8.51%, top5=18.14%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
