[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_mbc/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --arcface --no-triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_mbc/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_mbc/seed_42/runs/20260617-091718

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   3% 37/1335 [00:38<15:24,  1.40it/s, loss=6.6309, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 38/1335 [00:38<15:22,  1.41it/s, loss=6.6309, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 38/1335 [00:39<15:22,  1.41it/s, loss=6.6168, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 39/1335 [00:39<15:20,  1.41it/s, loss=6.6168, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 39/1335 [00:40<15:20,  1.41it/s, loss=6.6115, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 40/1335 [00:40<15:18,  1.41it/s, loss=6.6115, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 40/1335 [00:41<15:18,  1.41it/s, loss=6.5960, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 41/1335 [00:41<15:16,  1.41it/s, loss=6.5960, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 41/1335 [00:41<15:16,  1.41it/s, loss=6.5815, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 42/1335 [00:41<15:15,  1.41it/s, loss=6.5815, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 42/1335 [00:42<15:15,  1.41it/s, loss=6.5706, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 43/1335 [00:42<15:14,  1.41it/s, loss=6.5706, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 43/1335 [00:43<15:14,  1.41it/s, loss=6.5580, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 44/1335 [00:43<15:13,  1.41it/s, loss=6.5580, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 44/1335 [00:43<15:13,  1.41it/s, loss=6.5496, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 45/1335 [00:43<15:14,  1.41it/s, loss=6.5496, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 45/1335 [00:44<15:14,  1.41it/s, loss=6.5362, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 46/1335 [00:44<15:12,  1.41it/s, loss=6.5362, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 46/1335 [00:45<15:12,  1.41it/s, loss=6.5284, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 47/1335 [00:45<15:14,  1.41it/s, loss=6.5284, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 47/1335 [00:46<15:14,  1.41it/s, loss=6.5151, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 48/1335 [00:46<15:13,  1.41it/s, loss=6.5151, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 48/1335 [00:46<15:13,  1.41it/s, loss=6.5055, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 49/1335 [00:46<15:11,  1.41it/s, loss=6.5055, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   4% 49/1335 [00:47<15:11,  1.41it/s, loss=6.4989, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
